eName;isPlanet;semimajorAxis;perihelion;aphelion;eccentricity;inclination;density;gravity;escape;meanRadius;equaRadius;polarRadius;flattening;dimension;sideralOrbit;sideralRotation;discoveryDate;mass_kg;volume;orbit_type;orbits;bondAlbido;geomAlbido;RV_abs;p_transit;transit_visibility;transit_depth;massj;semimajorAxis_AU;grav_int
Atlas;FALSO;137670;0;0;0;0.3;1;0;0;33;0;0;0;42x36x18;602;0;29537;7000000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;22500000;36800;92000000000;49100000000000000000
Autonoe;FALSO;24033000;0;0;334;152.9;1;15;0;2;0;0;0;NA;715.4;0;37235;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;28974493404901500;##########;8250;474;16065068230947700;##########
Bebhionn;FALSO;17117800;0;0;469;35;1;0;0;3;0;0;0;NA;834.8;0;38333;150000000000000;NA;Secondary;Saturn;NA;NA;NA;4067958499339860;##########;186000;79;11442542544156600;67988372002407.68
Belinda;FALSO;75300;0;0;0;0.03;1;0;0;45;0;0;0;NA;62353;0;31425;490000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;4180000;2580000;50300000000;11500000000000000000000
Bergelmir;FALSO;19338300;0;0;142;158.5;1;0;0;3;0;0;0;NA;1005.9;0;38333;150000000000000;NA;Secondary;Saturn;NA;NA;NA;36008594343866800;##########;186000;79;12926855114656300;53271380475388.57
Bestla;FALSO;20278000;0;0;521;145.2;1;0;0;3;0;0;0;NA;1083.6;0;38334;230000000000000;NA;Secondary;Saturn;NA;NA;NA;3433992504191730;##########;186000;1210;13555005766535900;74287693981947.61
Bianca;FALSO;59200;0;0;0;0.19;1;0;0;27;0;0;0;NA;43458;0;31435;92000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;15000000;484000;39600000000;3490000000000000000000
Caliban;FALSO;7231100;0;0;1812;141.53;1;0;0;36;0;0;0;NA;-579.5;0;35679;250000000000000000;NA;Secondary;Uranus;NA;NA;NA;9630319038597170;##########;26700000;1320000;4833691793983530;635000000000000000
Callirrhoe;FALSO;24102000;0;0;283;147.1;1;31;0;4;0;0;0;NA;758.8;0;36439;870000000000000;NA;Secondary;Jupiter;NA;NA;NA;2889162725085050;##########;33000;458;16111191882091400;198908053353118.12
Callisto;FALSO;1882700;0;0;7;192;1.83;1235;0;186335;0;0;0;NA;1668902;400536;07/01/1610;1080000000000000000000000000000000000000;NA;Secondary;Jupiter;NA;NA;NA;3711437297498270;##########;120000000000;56800000000;12585072175094800;4050000000000000000000000
Calypso;FALSO;294710;0;0;1;1473;1;0;0;33;0;0;0;31x24x21;1.89;0;29293;6500000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;22500000;34200;19700146708037300;9940000000000000000
Carme;FALSO;23404000;0;0;253;164.9;1;17;0;15;0;0;0;NA;734.2;0;14091;100000000000000000;NA;Secondary;Jupiter;NA;NA;NA;2975376004101860;##########;4640000;52600;15644607700957000;24247000000000000
Carpo;FALSO;17078000;0;0;0.43;51.4;1;0;0;3;0;0;0;NA;456.1;0;2003;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;40774388101651200;##########;186000;237;11415937887410000;##########
Chaldene;FALSO;23179000;0;0;251;165.2;1;0;0;44805;0;0;0;NA;723.8;0;36853;75000000000000;NA;Secondary;Jupiter;NA;NA;NA;30042016480434800;##########;7440;395;15494204490706000;##########
Charon;FALSO;17536;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;28593;24000000000000000;NA;Secondary;Pluto;NA;NA;NA;##########;##########;22500000;12600;1170000000000;10400000000000000000000
Cleoselene;FALSO;380;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;39709;24000000000000000;NA;Secondary;216 Kleopatra;NA;NA;NA;##########;##########;22500000;12600;25400000000;22100000000000000000000000
Comet Hyakutake;FALSO;0;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;35094;24000000000000000;NA;Primary;NA;NA;NA;NA;Inf;Inf;22500000;12600;0;Inf
Cordelia;FALSO;49800;0;0;0;0.08;1;0;0;20;0;0;0;NA;33503;0;31432;45000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;825000;237000;333000000000;2410000000000000000000
Cressida;FALSO;61800;0;0;0;0.01;1;0;0;41;0;0;0;NA;46357;0;31421;340000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;46813;34700000;1790000;4130000000;11800000000000000000000
Cupid;FALSO;74392;0;0;0;0.1;1;0;0;9;0;0;0;NA;613;0;37858;3800000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;1670000;0;497000000000;91200000000000000000
Cyllene;FALSO;23787000;0;0;319;149.3;1;0;0;1;0;0;0;NA;737.8;0;2003;15000000000000;NA;Secondary;Jupiter;NA;NA;NA;29274099297935800;##########;2060;8;15900627387739900;##########
Daphnis;FALSO;136500;0;0;0;0;0;0;0;33;0;0;0;9x8x6;594;0;39934;100000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;22500000;53;912000000000;713000000000000000
Deimos;FALSO;23458;23456;23471;0;1075;2;3;5556;33;44780;44566;0;15.0 x 12 x 10.4;126244;3029856;12/08/1877;2400000000000000;2957583;Secondary;Mars;NA;NA;NA;##########;##########;22500000;1260;1570000000000;579000000000000000000
Desdemona;FALSO;62700;0;0;0;0.11;1;0;0;35;0;0;0;NA;47365;0;31425;180000000000000000;NA;Secondary;Uranus;NA;NA;NA;##########;##########;25300000;94700;4190000000000;6080000000000000000000
Despina;FALSO;52526;0;0;0;0.07;1;23;0;33;0;0;0;90 x 74 x 64;33466;0;32717;2000000000000000000;NA;Secondary;Neptune;NA;NA;NA;##########;##########;22500000;10500000;351000000000;96300000000000000000000
Dia;FALSO;12555000;0;0;211;28.23;1;0;0;2;0;0;0;NA;287;0;36887;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;5546348068498600;##########;8250;474;8392499132008030;75831274292753.45
Dione;FALSO;377415;376580;378260;22;0.02;1;0;0;1123.4;0;0;0;NA;2.74;0;21/03/1684;1100000000000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;26000000000;579000000;25228634487509400;1030000000000000000000000
Dysnomia;FALSO;30000;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;??/09/2005;24000000000000000;NA;Secondary;136199 Eris;NA;NA;NA;232125;4178.25;22500000;12600;201000000000;3540000000000000000000
Earth;VERDADERO;149598262;147095000;152100000;167;0;55136;10;11190;63710084;63781366;1627735;335;NA;365256;239345;NA;5970000000000000000000000;1080000000000;Primary;NA;306;367;8935452898655720;4697334039883430;8455201271790170;83700000000;3142105263157890;##########;35400000000000000000000
Eirene;FALSO;23493000;0;0;0.22;163.1;1;0;0;2;0;0;0;NA;759.7;0;2003;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;29640488656195400;##########;8250;474;1570410052634520;21657325846979.97
Elara;FALSO;11741000;0;0;217;26.63;1;31;0;40;0;0;0;NA;2596528;0;1829;800000000000000000;NA;Secondary;Jupiter;NA;NA;NA;593119836470488;##########;3300000;4210000;7848373740255380;770760000000000000
Enceladus;FALSO;238037;236830;239066;45;0;2;0;0;504.2;0;0;0;NA;1.37;32.88;28/08/1789;108000000000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;524000000;568000000;1591179064823410;253000000000000000000000
Epimetheus;FALSO;151410;0;0;9;0.34;1;0;0;113.4;0;0;0;116x117x106;0.69;0;24459;530000000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;265000000;279000;10121133361826600;3070000000000000000000
Erinome;FALSO;23283000;0;0;266;164.9;1;0;0;44713;0;0;0;NA;728.3;0;36853;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;2990781256710900;##########;5280;237;15563724196777600;##########
Erriapus;FALSO;17611400;0;0;474;34.6;1;0;0;4;0;0;0;NA;871.2;0;36792;680000000000000;NA;Secondary;Saturn;NA;NA;NA;3953950282203570;##########;33000;3580;11772493764511800;291179254091110.7
Ersa;FALSO;11483000;0;0;94;44742;1;0;0;44682;0;0;0;NA;252;0;43298;24000000000000000;NA;Secondary;Jupiter;NA;NA;NA;6064125228598790;##########;46400;12600;7675911392500850;24174000000000000
Euanthe;FALSO;21038000;0;0;232;148.9;1;12;0;44682;0;0;0;NA;620.6;0;37236;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;3309932027759290;##########;46400;237;14063034387828300;13503392486830.54
Eukelade;FALSO;23322000;0;0;272;165.5;1;0;0;4;0;0;0;NA;746.4;0;2003;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;29857902409741800;##########;33000;474;1558979408655440;##########
Eupheme;FALSO;20230000;0;0;253;148;1;0;0;1;0;0;0;NA;504;0;2003;15000000000000;NA;Secondary;Jupiter;NA;NA;NA;3442130499258520;##########;2060;8;13522919748349000;##########
Euporie;FALSO;19339000;0;0;144;145.8;1;0;0;1;0;0;0;NA;553.1;0;37236;15000000000000;NA;Secondary;Jupiter;NA;NA;NA;3600718754847710;##########;2060;8;12927323035754900;5326752409279.86
Europa;FALSO;671100;0;0;9;466;44564;1;0;1560.8;0;0;0;NA;355118;852293;08/01/1610;48000000000000000000000;NA;Secondary;Jupiter;NA;NA;NA;##########;##########;5020000000;25300000000;4486026417754350;14200000000000000000000000
Eurydome;FALSO;23148000;0;0;276;150.3;1;12;0;44682;0;0;0;NA;723.9;0;37244;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;3008223172628300;##########;46400;237;15473482270626900;##########
Farbauti;FALSO;20387000;0;0;206;156.4;1;0;0;3;0;0;0;NA;1086.1;0;38333;90000000000000;NA;Secondary;Saturn;NA;NA;NA;3415632510913810;##########;186000;474;1362786776616860;##########
Fenrir;FALSO;22454800;0;0;136;164.9;1;0;0;2;0;0;0;NA;1260.3;0;38334;50000000000000;NA;Secondary;Saturn;NA;NA;NA;31010919714270400;##########;8250;26;1501010669131130;##########
Ferdinand;FALSO;20430000;0;0;3993;169.79;1;0;0;10;0;0;0;NA;-2823.4;0;37116;5400000000000000;NA;Secondary;Uranus;NA;NA;NA;3408477728830150;##########;2060000;28400;13656611490794400;1718300000000000
Fornjot;FALSO;25151200;0;0;206;170.4;1;0;0;3;0;0;0;NA;1490.9;0;38333;150000000000000;NA;Secondary;Saturn;NA;NA;NA;276863529374344;##########;186000;79;16812538762959800;##########
Francisco;FALSO;4282900;0;0;1324;147.25;1;0;0;11;0;0;0;NA;-266.6;0;37116;7200000000000000;NA;Secondary;Uranus;NA;NA;NA;1625891335310180;##########;2500000;3790;28629418185963500;52131000000000000
Galatea;FALSO;61953;0;0;0;0.05;1;0;0;33;0;0;0;102 x 92 x 72;42875;0;32717;2000000000000000000;NA;Secondary;Neptune;NA;NA;NA;##########;##########;22500000;10500000;4140000000000;69200000000000000000000
Ganymede;FALSO;1070400;0;0;1;177;2;1428;0;267025;0;0;0;NA;715455;1717093;11/01/1610;1480000000000000000000000000000000000000;NA;Secondary;Jupiter;NA;NA;NA;6530018684603880;##########;143000000000;77900000000;7155182055676140;17200000000000000000000000
