eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int,is_exoplanet
Fornjot,FALSO,25151200,0,0,206,170.4,1,0,0,3,0,0,0,NA,1490.9,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,2.76864E+14,##########,186000,79,1.68125E+16,##########,FALSE
Francisco,FALSO,4282900,0,0,1324,147.25,1,0,0,11,0,0,0,NA,-266.6,0,37116,7.2E+15,NA,Secondary,Uranus,NA,NA,NA,1.62589E+15,##########,2500000,3790,2.86294E+16,5.2131E+16,FALSE
Galatea,FALSO,61953,0,0,0,0.05,1,0,0,33,0,0,0,102 x 92 x 72,42875,0,32717,2E+18,NA,Secondary,Neptune,NA,NA,NA,##########,##########,22500000,10500000,4.14E+12,6.92E+22,FALSE
Ganymede,FALSO,1070400,0,0,1,177,2,1428,0,267025,0,0,0,NA,715455,1717093,11/01/1610,1.48E+39,NA,Secondary,Jupiter,NA,NA,NA,6.53002E+15,##########,1.43E+11,77900000000,7.15518E+15,1.72E+25,FALSE
Greip,FALSO,18442200,0,0,326,179.8,1,0,0,3,0,0,0,NA,921.2,0,38722,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,3.77582E+15,##########,186000,79,1.23278E+16,5.8574E+13,FALSE
Halimede,FALSO,16611000,0,0,571,134.1,1,0.01,0,30,0,0,0,NA,1879.7,0,37482,2E+17,NA,Secondary,Neptune,NA,NA,NA,4.19223E+15,##########,18600000,1050000,1.11038E+16,9.6267E+16,FALSE
Halley's Comet,FALSO,2677801885,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,NA,2.4E+16,NA,Primary,NA,NA,NA,NA,2.6E+11,4.68098E+16,22500000,12600,##########,##########,FALSE
Harpalyke,FALSO,21104000,0,0,226,148.6,1,0,0,44594,0,0,0,NA,623.3,0,36853,1.2E+14,NA,Secondary,Jupiter,NA,NA,NA,3.29958E+15,##########,9980,6,1.41072E+15,3.57842E+13,FALSE
Hati,FALSO,19775000,0,0,372,165.8,1,0,0,3,0,0,0,NA,1038.7,0,38333,1.5E+14,NA,Secondary,Saturn,NA,NA,NA,3.52134E+14,##########,186000,79,1.32188E+16,5.09445E+13,FALSE
Hegemone,FALSO,23566000,0,0,328,155.2,1,0,0,2,0,0,0,NA,739.6,0,2003,4.5E+13,NA,Secondary,Jupiter,NA,NA,NA,2.95487E+16,##########,8250,237,1.57529E+15,##########,FALSE
